"","region","holiday","Major Crash","Minor Crash","%-major-crashes"
"1","Rest of NZ","No Holiday",21062,295190,0.0665987883080581
"2","Rest of NZ","Christmas New Year",695,7525,0.0845498783454988
"3","Rest of NZ","Easter",277,3396,0.0754151919411925
"4","Rest of NZ","Labour Weekend",263,2626,0.0910349601938387
"5","Rest of NZ","Queens Birthday",235,3060,0.0713201820940819
"6","West Coast Region","No Holiday",302,2580,0.104788341429563
"7","West Coast Region","Christmas New Year",13,106,0.109243697478992
"8","West Coast Region","Easter",4,46,0.08
"9","West Coast Region","Labour Weekend",8,41,0.163265306122449
"10","West Coast Region","Queens Birthday",3,40,0.0697674418604651
