"","region","Major Crash","Minor Crash","%-major-crashes","population","%-major-crashes-pop","%-total-crashes-pop"
"1","Auckland Region",5424,107523,0.0480225238386146,1692300,0.00320510547775217,0.0667417124623294
"2","Bay of Plenty Region",1481,19126,0.0718687824525647,346900,0.00426924185644278,0.0594032862496397
"3","Canterbury Region",2915,30170,0.0881063926250567,653400,0.00446127946127946,0.0506351392715029
"4","Gisborne Region",345,3699,0.0853115727002967,52000,0.00663461538461538,0.0777692307692308
"5","Hawke's Bay Region",970,11963,0.0750019330395113,182800,0.00530634573304158,0.0707494529540481
"6","Manawatū-Whanganui Region",1657,18550,0.0820012866828327,257600,0.00643245341614907,0.0784433229813665
"7","Marlborough Region",217,3358,0.0606993006993007,51600,0.00420542635658915,0.0692829457364341
"8","Nelson Region",200,2996,0.0625782227784731,55000,0.00363636363636364,0.0581090909090909
"9","Northland Region",1444,13551,0.0962987662554185,201200,0.00717693836978131,0.0745278330019881
"10","Otago Region",1382,16390,0.0777627729011929,248000,0.00557258064516129,0.0716612903225806
"11","Southland Region",635,7462,0.0784241076942077,102500,0.00619512195121951,0.0789951219512195
"12","Taranaki Region",678,6951,0.0888714117184428,127300,0.00532600157109191,0.0599293008641006
"13","Tasman Region",312,2993,0.0944024205748865,58600,0.00532423208191126,0.0563993174061433
"14","Waikato Region",3155,35908,0.0807669661828329,510900,0.00617537678606381,0.0764591896652965
"15","Wellington Region",1717,31157,0.0522297256190302,543700,0.0031579915394519,0.0604634908957145
"16","West Coast Region",330,2813,0.10499522748966,32800,0.0100609756097561,0.0958231707317073
